claim_id,fraud_label,label_source
CLM000001,0,clean
CLM000002,0,clean
CLM000003,0,clean
CLM000004,0,clean
CLM000005,0,clean
CLM000006,0,clean
CLM000007,0,clean
CLM000008,0,clean
CLM000009,0,clean
CLM000010,0,clean
CLM000011,1,random
CLM000012,0,clean
CLM000013,0,clean
CLM000014,0,clean
CLM000015,0,clean
CLM000016,0,clean
CLM000017,0,clean
CLM000018,0,clean
CLM000019,0,clean
CLM000020,0,clean
CLM000021,0,clean
CLM000022,0,clean
CLM000023,0,clean
CLM000024,0,clean
CLM000025,0,clean
CLM000026,0,clean
CLM000027,0,clean
CLM000028,0,clean
CLM000029,0,clean
CLM000030,0,clean
CLM000031,0,clean
CLM000032,0,clean
CLM000033,0,clean
CLM000034,0,clean
CLM000035,0,clean
CLM000036,0,clean
CLM000037,0,clean
CLM000038,0,clean
CLM000039,0,clean
CLM000040,0,clean
CLM000041,0,clean
CLM000042,0,clean
CLM000043,0,clean
CLM000044,0,clean
CLM000045,0,clean
CLM000046,0,clean
CLM000047,0,clean
CLM000048,0,clean
CLM000049,1,random
CLM000050,0,clean
CLM000051,0,clean
CLM000052,0,clean
CLM000053,0,clean
CLM000054,1,random
CLM000055,0,clean
CLM000056,0,clean
CLM000057,0,clean
CLM000058,0,clean
CLM000059,0,clean
CLM000060,0,clean
CLM000061,0,clean
CLM000062,0,clean
CLM000063,0,clean
CLM000064,0,clean
CLM000065,0,clean
CLM000066,0,clean
CLM000067,0,clean
CLM000068,0,clean
CLM000069,0,clean
CLM000070,0,clean
CLM000071,0,clean
CLM000072,0,clean
CLM000073,0,clean
CLM000074,0,clean
CLM000075,0,clean
CLM000076,0,clean
CLM000077,0,clean
CLM000078,0,clean
CLM000079,0,clean
CLM000080,0,clean
CLM000081,0,clean
CLM000082,0,clean
CLM000083,0,clean
CLM000084,0,clean
CLM000085,0,clean
CLM000086,0,clean
CLM000087,0,clean
CLM000088,0,clean
CLM000089,0,clean
CLM000090,0,clean
CLM000091,0,clean
CLM000092,0,clean
CLM000093,0,clean
CLM000094,0,clean
CLM000095,0,clean
CLM000096,0,clean
CLM000097,0,clean
CLM000098,0,clean
CLM000099,0,clean
CLM000100,0,clean
CLM000101,0,clean
CLM000102,0,clean
CLM000103,0,clean
CLM000104,0,clean
CLM000105,0,clean
CLM000106,0,clean
CLM000107,0,clean
