loss_month,total_claims,total_claimed,total_approved,avg_settlement_days,fraud_ring_claims,new_policies,gwp,loss_ratio
2020-01,23,20107164.89,14006541.549999999,72.875,0,1555.0,146295553.07,0.09574140331728402
2020-02,60,91951223.27,58303157.39,99.62068965517241,0,1371.0,128016341.01,0.45543527435646397
2020-03,100,157177074.28,99224836.3,94.93023255813954,0,1476.0,134369312.48,0.738448641796608
2020-04,122,213920488.23,144729412.4,96.0,0,1469.0,140480574.79,1.0302450186892491
2020-05,176,289350531.2,183163749.31,89.95061728395062,0,1501.0,131501277.68,1.3928666895215827
2020-06,203,303063625.99,185616041.57,82.73195876288659,0,1417.0,136697579.94,1.3578590173393819
2020-07,278,390162909.38,260470654.27,94.43181818181819,0,1494.0,147676696.46,1.7637898227263744
2020-08,303,559108737.64,377221215.29,95.10569105691057,1,1501.0,139373506.32,2.706548936380379
2020-09,325,437613996.43,289214741.73,96.28776978417267,0,1442.0,147964447.25,1.95462320243284
2020-10,407,575123200.64,377813339.42,89.29032258064517,0,1601.0,151775908.87,2.4892839860613645
2020-11,443,695451447.47,459679789.78000003,85.97584541062803,1,1452.0,148550086.6,3.0944430952623896
2020-12,498,860468362.77,590288048.8,86.14782608695653,0,1579.0,148174149.85,3.9837451363652954
2021-01,545,747441297.17,503836194.4,92.82627118644068,0,1517.0,144853190.27,3.4782540409422213
2021-02,522,831298404.9,542612171.06,93.0936170212766,0,1402.0,133258828.03,4.071866600371451
2021-03,648,1030560306.36,667191759.98,88.23239436619718,0,1476.0,148392524.8,4.496127826379567
2021-04,660,966219840.34,633635705.26,90.92691029900332,0,1467.0,145138674.04,4.365726154321701
2021-05,718,1070475558.99,685378600.57,83.94736842105263,0,1523.0,144932043.0,4.728965288718107
2021-06,745,1226308989.19,787828612.08,94.49201277955271,1,1398.0,148636255.75,5.300379830645728
2021-07,854,1388656122.29,918760883.64,95.12967581047381,0,1469.0,143938219.48,6.38302243114561
2021-08,906,1526276437.61,1014311551.16,95.85238095238095,2,1512.0,144145170.85,7.036736265105339
2021-09,883,1369128954.6,921735604.4,91.41645244215938,1,1393.0,130715754.08,7.051450002238322
2021-10,985,1497115517.53,1021909094.65,93.77969762419006,0,1535.0,143703774.86,7.111219560137307
2021-11,1024,1755400757.62,1104008601.24,91.44097995545657,1,1381.0,135358194.87,8.156200681460817
2021-12,1167,1828144733.75,1199431029.95,93.53254437869822,1,1480.0,139386365.43,8.605081467256966
2022-01,1205,1744778114.87,1162295054.96,90.69962686567165,1,1555.0,155542062.36,7.4725449651675815
2022-02,1100,1706574902.78,1140521611.1,91.87301587301587,0,1370.0,142548563.48,8.000933739749813
2022-03,1325,2108715671.81,1384215295.1,89.6644407345576,1,1476.0,134248217.65,10.310865345779135
2022-04,1455,2288676950.47,1477571022.75,91.07278481012658,1,1480.0,139725552.3,10.574808962483521
2022-05,1448,2337684720.69,1562607178.62,92.95873015873016,2,1509.0,145289294.83,10.755143250219323
2022-06,1482,2281439806.99,1524737887.06,91.14567526555388,0,1448.0,146891067.45,10.38005859395775
2022-07,1895,3205781808.05,2088226450.52,91.00341296928327,0,1511.0,144674764.03,14.433937145299106
