policy_id,customer_id,product_line,sum_insured,annual_premium,deductible,start_date,end_date,duration_months,agent_id,channel,riders,renewal_status,lapse_flag,state
POL000001,CUST005322,Health,9115170.0,361227.6,23926.55,2020-01-11,2021-01-05,12.0,AGT000082,Broker,Accidental Death,Renewed,False,Madhya Pradesh
POL000002,CUST046717,Health,2308761.0,84052.52,9052.33,2024-03-07,2025-03-02,12.0,AGT000280,Broker,None,Lapsed,False,Maharashtra
POL000003,CUST040253,Home,3004979.0,29914.61,5380.78,2020-06-09,2021-06-04,12.0,AGT000073,Agent,Accidental Death,Active,False,Punjab
POL000004,CUST036747,Motor,138404.0,2953.5,245.36,2022-11-30,2023-11-25,12.0,AGT000427,Direct,None,Cancelled,False,Uttar Pradesh
POL000005,CUST008412,Motor,8305683.0,234540.12,32798.5,2020-08-14,2025-07-19,60.0,AGT000241,Online,Critical Illness,Active,False,Tamil Nadu
POL000006,CUST026942,Home,135572.0,1378.97,235.81,2022-10-21,2024-10-10,24.0,AGT000088,Agent,Zero Dep,Cancelled,False,Uttar Pradesh
POL000007,CUST018394,Crop,2162502.0,132871.48,10562.45,2022-12-14,2023-12-09,12.0,AGT000321,Direct,None,Renewed,False,Andhra Pradesh
POL000008,CUST034388,Travel,554778.0,32557.48,3758.24,2022-06-27,2023-06-22,12.0,AGT000087,Agent,None,Lapsed,False,Uttar Pradesh
POL000009,CUST011314,Marine,173212.0,4434.81,449.0,2023-11-08,2025-10-28,24.0,AGT000333,Bancassurance,None,Renewed,False,Andhra Pradesh
POL000010,CUST004824,Motor,3478002.0,90331.53,10237.62,2021-05-04,2022-04-29,12.0,AGT000232,Agent,None,Active,False,Himachal Pradesh
POL000011,CUST039180,Home,109458.0,710.77,62.54,2024-06-19,2025-06-14,12.0,AGT000168,Agent,Accidental Death,Renewed,False,Haryana
POL000012,CUST028780,Motor,3294430.0,81901.29,12825.92,2021-01-25,2022-01-20,12.0,AGT000390,Bancassurance,Zero Dep,Active,False,Uttarakhand
POL000013,CUST009605,Motor,593605.0,16264.16,1892.66,2021-03-26,2022-03-21,12.0,AGT000415,Agent,Critical Illness,Active,False,Uttar Pradesh
POL000014,CUST007811,Life,185669.0,2455.31,169.38,2024-02-15,2025-02-09,12.0,AGT000269,Broker,None,Active,False,Delhi
POL000015,CUST032800,Health,612943.0,23506.68,3724.87,2022-04-23,2023-04-18,12.0,AGT000326,Direct,Critical Illness,Active,False,Andhra Pradesh
POL000016,CUST011178,Travel,946178.0,50728.75,6628.04,2022-04-05,2023-03-31,12.0,AGT000227,Online,Zero Dep,Lapsed,False,Maharashtra
POL000017,CUST008987,Marine,514392.0,12557.44,2089.96,2021-07-15,2023-07-05,24.0,AGT000242,Agent,Accidental Death,Renewed,True,West Bengal
POL000018,CUST015822,Motor,1228220.0,31487.87,3297.47,2020-02-05,2021-01-30,12.0,AGT000197,Online,None,Renewed,False,Uttar Pradesh
POL000019,CUST023683,Motor,202210.0,4825.82,545.62,2023-12-23,2026-12-07,36.0,AGT000392,Broker,None,Active,False,Maharashtra
POL000020,CUST015003,Motor,6980082.0,225653.9,13939.17,2022-10-31,2024-10-20,24.0,AGT000019,Broker,Accidental Death,Renewed,False,Odisha
POL000021,CUST016732,Life,13744277.0,261861.39,32625.37,2020-08-30,2021-08-25,12.0,AGT000230,Online,None,Lapsed,False,Assam
