provider_id,provider_name,provider_type,state,city,network_tier,avg_billing_amount,peer_avg_billing,billing_ratio,active,is_anomaly,is_fraud_ring
HSP0001,"Choudhury, Bakshi and Maharaj Hospital",Hospital,Uttar Pradesh,Rajahmundry,Network-B,82327.62,30000,2.744,True,True,False
HSP0002,Chaudry Ltd Hospital,Hospital,Bihar,Gudivada,Out-of-Network,79520.82,30000,2.651,True,True,False
HSP0003,Balay-Balan Hospital,Hospital,Bihar,Bellary,Network-B,68278.98,30000,2.276,True,True,False
HSP0004,Tiwari PLC Hospital,Hospital,Rajasthan,Kishanganj,Network-C,29320.97,30000,0.977,True,False,False
HSP0005,Saini and Sons Hospital,Hospital,Odisha,Giridih,Network-A,33931.57,30000,1.131,True,False,False
HSP0006,Ahuja-Dutta Hospital,Hospital,Uttar Pradesh,Mau,Network-B,35648.38,30000,1.188,True,False,False
HSP0007,Dugal-Kale Hospital,Hospital,Uttar Pradesh,Kota,Network-A,29600.65,30000,0.987,False,False,False
HSP0008,Rai Inc Hospital,Hospital,Chhattisgarh,Hapur,Network-C,32937.15,30000,1.098,True,False,False
HSP0009,"Lalla, Bassi and Sharaf Hospital",Hospital,Karnataka,Burhanpur,Network-B,29634.67,30000,0.988,True,False,False
HSP0010,Memon Ltd Hospital,Hospital,Bihar,Gangtok,Network-B,26722.91,30000,0.891,True,False,False
HSP0011,Boase Inc Hospital,Hospital,Maharashtra,Ramagundam,Network-C,32403.18,30000,1.08,True,False,False
HSP0012,Kaul Inc Hospital,Hospital,Uttar Pradesh,Alwar,Network-C,28649.74,30000,0.955,True,False,False
HSP0013,Patla-Gaba Hospital,Hospital,Tamil Nadu,Raichur,Network-A,26398.9,30000,0.88,False,False,False
HSP0014,Loke Ltd Hospital,Hospital,Uttar Pradesh,Narasaraopet,Network-C,32461.98,30000,1.082,True,False,False
HSP0015,"Garg, Walla and Konda Hospital",Hospital,Maharashtra,Surendranagar Dudhrej,Network-B,25677.56,30000,0.856,True,False,False
HSP0016,Madan-Kanda Hospital,Hospital,Tamil Nadu,Pimpri-Chinchwad,Network-B,30782.83,30000,1.026,True,False,False
HSP0017,Balay LLC Hospital,Hospital,Rajasthan,Agartala,Network-B,30710.49,30000,1.024,True,False,False
HSP0018,Kakar PLC Hospital,Hospital,Andhra Pradesh,Rajpur Sonarpur,Network-B,26575.02,30000,0.886,True,False,False
HSP0019,"Tata, Randhawa and Shanker Hospital",Hospital,Uttar Pradesh,Bilaspur,Network-A,24699.63,30000,0.823,True,False,False
HSP0020,Koshy Ltd Hospital,Hospital,Jharkhand,Bhimavaram,Network-C,30684.39,30000,1.023,True,False,False
HSP0021,Rastogi-Pathak Hospital,Hospital,Tamil Nadu,Durgapur,Network-B,33768.24,30000,1.126,True,False,False
HSP0022,"Tak, Chand and Batta Hospital",Hospital,Andhra Pradesh,Jamnagar,Network-A,32668.31,30000,1.089,True,False,False
HSP0023,"Dutta, Sami and Bhatt Hospital",Hospital,Delhi,Eluru,Network-B,25827.75,30000,0.861,True,False,False
HSP0024,"Sidhu, Wadhwa and Krishnamurthy Hospital",Hospital,Maharashtra,Raipur,Network-B,27618.15,30000,0.921,True,False,False
HSP0025,"Yadav, Loke and Oak Hospital",Hospital,Kerala,Durg,Network-A,25416.07,30000,0.847,True,False,False
HSP0026,Dugar-Setty Hospital,Hospital,Uttar Pradesh,Firozabad,Network-C,27190.44,30000,0.906,True,False,False
HSP0027,"Gokhale, Tripathi and Cherian Hospital",Hospital,Uttar Pradesh,Guna,Network-C,29392.34,30000,0.98,True,False,False
HSP0028,"Issac, Dua and Prakash Hospital",Hospital,Bihar,Panvel,Out-of-Network,29469.32,30000,0.982,True,False,False
HSP0029,"Acharya, Naik and Suresh Hospital",Hospital,Karnataka,Gorakhpur,Network-B,26121.27,30000,0.871,True,False,False
HSP0030,Mohanty-Khatri Hospital,Hospital,Uttar Pradesh,New Delhi,Network-C,29185.12,30000,0.973,True,False,False
HSP0031,"Brar, Chada and Sunder Hospital",Hospital,Punjab,Katihar,Network-C,25013.33,30000,0.834,True,False,False
HSP0032,Dave Ltd Hospital,Hospital,Andhra Pradesh,Jamalpur,Network-B,27958.33,30000,0.932,True,False,False
HSP0033,Lanka PLC Hospital,Hospital,Bihar,Rajpur Sonarpur,Network-B,26047.12,30000,0.868,True,False,False
HSP0034,"Iyer, Muni and Rastogi Hospital",Hospital,Punjab,Bahraich,Network-B,31090.99,30000,1.036,False,False,False
HSP0035,"Seth, Dara and Kota Hospital",Hospital,West Bengal,Rajkot,Network-B,33392.82,30000,1.113,True,False,False
HSP0036,Bail-Karpe Hospital,Hospital,Maharashtra,Chennai,Network-B,35253.92,30000,1.175,True,False,False
HSP0037,Bhargava and Sons Hospital,Hospital,Maharashtra,Patna,Network-B,27978.83,30000,0.933,True,False,False
HSP0038,Bobal-Varkey Hospital,Hospital,Maharashtra,Alwar,Network-A,33915.5,30000,1.131,True,False,False
HSP0039,"Sunder, Kala and Zacharia Hospital",Hospital,Chhattisgarh,Aurangabad,Network-B,25302.91,30000,0.843,True,False,False
HSP0040,"Solanki, Kibe and Solanki Hospital",Hospital,Jharkhand,Jhansi,Network-C,32723.94,30000,1.091,True,False,False
HSP0041,Chatterjee Ltd Hospital,Hospital,Bihar,Raichur,Out-of-Network,26762.57,30000,0.892,False,False,False
HSP0042,Roy-Sibal Hospital,Hospital,Odisha,Navi Mumbai,Network-B,33957.48,30000,1.132,True,False,False
HSP0043,Rau Ltd Hospital,Hospital,Karnataka,Moradabad,Out-of-Network,27491.01,30000,0.916,True,False,False
HSP0044,Handa and Sons Hospital,Hospital,Haryana,Kolhapur,Out-of-Network,25975.29,30000,0.866,False,False,False
HSP0045,Goswami-Mallick Hospital,Hospital,Maharashtra,Kulti,Out-of-Network,34700.13,30000,1.157,True,False,False
HSP0046,Savant PLC Hospital,Hospital,Uttar Pradesh,Dhanbad,Network-C,30226.3,30000,1.008,True,False,False
HSP0047,"Zachariah, Aurora and Chander Hospital",Hospital,Uttar Pradesh,Rourkela,Network-C,28483.89,30000,0.949,True,False,False
HSP0048,Sunder-Srivastava Hospital,Hospital,Telangana,Rewa,Network-B,35241.76,30000,1.175,True,False,False
HSP0049,Gala Group Hospital,Hospital,Bihar,Pali,Network-C,25839.41,30000,0.861,True,False,False
HSP0050,Sha-Mangal Hospital,Hospital,Punjab,Miryalaguda,Network-C,26357.22,30000,0.879,True,False,False
HSP0051,"Sur, Dubey and Gupta Hospital",Hospital,Uttar Pradesh,Bellary,Out-of-Network,30008.89,30000,1.0,True,False,False
HSP0052,Bhat Ltd Hospital,Hospital,Andhra Pradesh,Howrah,Network-A,25581.87,30000,0.853,True,False,False
HSP0053,Sood PLC Hospital,Hospital,Bihar,Howrah,Network-B,32331.15,30000,1.078,True,False,False
HSP0054,"Buch, Grewal and Biswas Hospital",Hospital,Gujarat,Noida,Network-C,32584.89,30000,1.086,True,False,False
HSP0055,Dar-Koshy Hospital,Hospital,Bihar,Udupi,Network-A,35130.75,30000,1.171,True,False,False
HSP0056,Saini Ltd Hospital,Hospital,Karnataka,Bhilwara,Network-B,31954.37,30000,1.065,True,False,False
HSP0057,Murthy and Sons Hospital,Hospital,Jharkhand,Tenali,Out-of-Network,24298.31,30000,0.81,True,False,False
HSP0058,Mital Group Hospital,Hospital,Rajasthan,Srinagar,Network-A,25684.08,30000,0.856,True,False,False
HSP0059,Shanker PLC Hospital,Hospital,West Bengal,Srinagar,Network-B,35196.28,30000,1.173,True,False,False
HSP0060,"Kala, Toor and Lanka Hospital",Hospital,Maharashtra,Karnal,Network-C,24214.04,30000,0.807,True,False,False
HSP0061,Konda LLC Hospital,Hospital,Uttar Pradesh,Sangli-Miraj & Kupwad,Network-C,26791.69,30000,0.893,True,False,False
HSP0062,Mittal-Wadhwa Hospital,Hospital,Rajasthan,Begusarai,Network-C,31237.29,30000,1.041,True,False,False
HSP0063,Chawla-Desai Hospital,Hospital,Kerala,Bhiwandi,Network-B,31823.17,30000,1.061,True,False,False
HSP0064,Dugal LLC Hospital,Hospital,Maharashtra,Mahbubnagar,Network-A,26839.95,30000,0.895,True,False,False
HSP0065,Oza and Sons Hospital,Hospital,Uttar Pradesh,Dibrugarh,Network-A,24798.71,30000,0.827,True,False,False
HSP0066,Krishnamurthy-Behl Hospital,Hospital,Chhattisgarh,Bhusawal,Network-C,27724.02,30000,0.924,True,False,False
HSP0067,Basu-Aggarwal Hospital,Hospital,Uttarakhand,Bikaner,Network-A,27416.64,30000,0.914,True,False,False
HSP0068,"Lala, Edwin and Sathe Hospital",Hospital,Bihar,Kishanganj,Network-A,24664.74,30000,0.822,True,False,False
HSP0069,Choudhury Inc Hospital,Hospital,Assam,Bongaigaon,Network-B,32168.57,30000,1.072,True,False,False
HSP0070,Pingle PLC Hospital,Hospital,Karnataka,Chinsurah,Network-B,34500.06,30000,1.15,True,False,False
HSP0071,Barman LLC Hospital,Hospital,Assam,Thane,Network-A,26840.94,30000,0.895,True,False,False
HSP0072,Kade-Krish Hospital,Hospital,Odisha,Raichur,Network-B,24591.05,30000,0.82,True,False,False
HSP0073,"Ray, Dubey and Khalsa Hospital",Hospital,Maharashtra,Belgaum,Network-A,34001.5,30000,1.133,True,False,False
HSP0074,Bakshi-Gola Hospital,Hospital,Uttarakhand,Bulandshahr,Network-A,34122.9,30000,1.137,True,False,False
HSP0075,"Kothari, Loke and Dutta Hospital",Hospital,West Bengal,Eluru,Network-C,33353.73,30000,1.112,True,False,False
HSP0076,Singhal and Sons Hospital,Hospital,Uttar Pradesh,Jaunpur,Network-A,30432.82,30000,1.014,True,False,False
HSP0077,Mody-Kari Hospital,Hospital,Uttar Pradesh,Nagpur,Network-B,28621.07,30000,0.954,True,False,False
HSP0078,"Hans, Rastogi and Narasimhan Hospital",Hospital,Haryana,Coimbatore,Network-A,29734.53,30000,0.991,True,False,False
HSP0079,Panchal-Upadhyay Hospital,Hospital,Gujarat,Jorhat,Network-B,28396.71,30000,0.947,True,False,False
HSP0080,Bala-D’Alia Hospital,Hospital,Kerala,Mangalore,Network-C,27562.52,30000,0.919,True,False,False
HSP0081,"Lanka, Barad and Chopra Hospital",Hospital,Uttarakhand,Hapur,Network-B,27940.33,30000,0.931,True,False,False
HSP0082,"Murthy, Sarin and Vaidya Hospital",Hospital,Uttar Pradesh,Kharagpur,Network-C,33652.7,30000,1.122,True,False,False
HSP0083,"Gupta, Kumar and Basu Hospital",Hospital,Rajasthan,Mumbai,Network-B,32818.72,30000,1.094,True,False,False
HSP0084,"Yohannan, Hegde and Patla Hospital",Hospital,Tamil Nadu,Coimbatore,Network-C,25585.23,30000,0.853,True,False,False
HSP0085,"Narayanan, Murthy and Dash Hospital",Hospital,Bihar,Guna,Network-C,25013.92,30000,0.834,True,False,False
HSP0086,Rege-Narain Hospital,Hospital,Bihar,Sagar,Out-of-Network,33610.61,30000,1.12,True,False,False
HSP0087,"Datta, Handa and Salvi Hospital",Hospital,Uttar Pradesh,Akola,Network-C,35352.32,30000,1.178,True,False,False
HSP0088,"Mitra, Ravi and Acharya Hospital",Hospital,Punjab,Baranagar,Network-A,31393.99,30000,1.046,True,False,False
HSP0089,Sani PLC Hospital,Hospital,Odisha,Kirari Suleman Nagar,Network-B,29591.82,30000,0.986,True,False,False
HSP0090,Sathe-Kala Hospital,Hospital,Uttar Pradesh,Gulbarga,Network-C,29905.84,30000,0.997,True,False,False
HSP0091,"Chad, Mander and Varma Hospital",Hospital,West Bengal,Tiruchirappalli,Network-A,25405.24,30000,0.847,True,False,False
HSP0092,Mukherjee and Sons Hospital,Hospital,Tamil Nadu,Siliguri,Network-B,33291.86,30000,1.11,True,False,False
HSP0093,Batra and Sons Hospital,Hospital,Karnataka,Phagwara,Network-C,33150.39,30000,1.105,True,False,False
HSP0094,Shah Group Hospital,Hospital,Kerala,Yamunanagar,Network-B,25891.34,30000,0.863,True,False,False
HSP0095,Ratta-Kohli Hospital,Hospital,West Bengal,Kolkata,Network-B,28599.84,30000,0.953,True,False,False
HSP0096,Sandal and Sons Hospital,Hospital,Odisha,Kadapa,Out-of-Network,33363.62,30000,1.112,True,False,False
HSP0097,Bedi-Krish Hospital,Hospital,Kerala,Sirsa,Out-of-Network,32613.12,30000,1.087,True,False,False
HSP0098,Shetty Ltd Hospital,Hospital,Bihar,Mango,Network-C,31644.89,30000,1.055,True,False,False
HSP0099,"Thaman, Sandhu and Sehgal Hospital",Hospital,Punjab,Fatehpur,Network-C,24147.63,30000,0.805,True,False,False
HSP0100,Lad-Kota Hospital,Hospital,Uttar Pradesh,Saharsa,Network-B,29502.58,30000,0.983,True,False,False
HSP0101,Khare-Maharaj Hospital,Hospital,Karnataka,Solapur,Out-of-Network,33375.53,30000,1.113,True,False,False
HSP0102,"Mangal, Keer and Magar Hospital",Hospital,West Bengal,Imphal,Network-C,27406.9,30000,0.914,True,False,False
HSP0103,"Buch, Devi and Dora Hospital",Hospital,Bihar,Yamunanagar,Out-of-Network,31988.22,30000,1.066,True,False,False
HSP0104,"Dua, Kala and Bhatt Hospital",Hospital,Bihar,Vellore,Network-C,24347.99,30000,0.812,True,False,False
HSP0105,Shukla-Sagar Hospital,Hospital,Chhattisgarh,Tiruppur,Network-C,26378.45,30000,0.879,True,False,False
HSP0106,Ramachandran-Bahri Hospital,Hospital,Rajasthan,Morena,Network-A,24065.16,30000,0.802,True,False,False
HSP0107,Pandey LLC Hospital,Hospital,Rajasthan,Gurgaon,Network-C,26862.63,30000,0.895,True,False,False
HSP0108,"Kannan, Sura and Kanda Hospital",Hospital,Assam,Junagadh,Network-C,35133.55,30000,1.171,True,False,False
HSP0109,Balakrishnan-Ramachandran Hospital,Hospital,Tamil Nadu,Machilipatnam,Network-C,24481.82,30000,0.816,True,False,False
HSP0110,"Gandhi, Sibal and Datta Hospital",Hospital,Bihar,Singrauli,Network-B,32942.26,30000,1.098,True,False,False
HSP0111,"Bala, Chacko and Sangha Hospital",Hospital,Uttar Pradesh,Surendranagar Dudhrej,Network-A,32815.45,30000,1.094,True,False,False
HSP0112,Bedi LLC Hospital,Hospital,Himachal Pradesh,Khammam,Network-C,35762.46,30000,1.192,True,False,False
HSP0113,Sha LLC Hospital,Hospital,Assam,Nadiad,Network-C,24508.21,30000,0.817,True,False,False
HSP0114,Sama-Krishnan Hospital,Hospital,Tamil Nadu,Nandyal,Network-A,25100.65,30000,0.837,True,False,False
HSP0115,Zacharia Inc Hospital,Hospital,West Bengal,Rajahmundry,Network-B,33408.97,30000,1.114,True,False,False
HSP0116,"Biswas, Baria and Balasubramanian Hospital",Hospital,Odisha,Kollam,Network-A,35352.29,30000,1.178,True,False,False
HSP0117,Dua and Sons Hospital,Hospital,Punjab,Bhalswa Jahangir Pur,Network-C,31790.8,30000,1.06,True,False,False
HSP0118,"Contractor, Kamdar and Shroff Hospital",Hospital,Chhattisgarh,Arrah,Network-B,28848.41,30000,0.962,True,False,False
HSP0119,Contractor and Sons Hospital,Hospital,Bihar,Moradabad,Network-A,27336.91,30000,0.911,True,False,False
HSP0120,"Bal, Muni and Prashad Hospital",Hospital,Madhya Pradesh,Davanagere,Network-C,31615.55,30000,1.054,True,False,False
HSP0121,Kibe Inc Hospital,Hospital,Madhya Pradesh,Ghaziabad,Network-A,31059.67,30000,1.035,True,False,False
HSP0122,Barman LLC Hospital,Hospital,Andhra Pradesh,Uluberia,Network-B,29689.59,30000,0.99,True,False,False
HSP0123,Toor Ltd Hospital,Hospital,Odisha,Ahmedabad,Network-B,32424.03,30000,1.081,True,False,False
HSP0124,Suri-Cherian Hospital,Hospital,Rajasthan,Mirzapur,Network-B,33449.19,30000,1.115,True,False,False
HSP0125,"Sharaf, Dua and Saran Hospital",Hospital,Maharashtra,Nagaon,Network-C,28327.89,30000,0.944,True,False,False
HSP0126,"Madan, Yohannan and Sule Hospital",Hospital,Telangana,Junagadh,Network-C,35052.69,30000,1.168,True,False,False
HSP0127,"Loyal, Naidu and Korpal Hospital",Hospital,Maharashtra,Alwar,Network-C,27773.41,30000,0.926,True,False,False
HSP0128,Kohli-Shetty Hospital,Hospital,Maharashtra,Naihati,Network-A,24864.71,30000,0.829,True,False,False
HSP0129,Talwar LLC Hospital,Hospital,Assam,Morbi,Network-B,28009.56,30000,0.934,True,False,False
HSP0130,Pant LLC Hospital,Hospital,Karnataka,Parbhani,Network-C,24176.19,30000,0.806,True,False,False
HSP0131,"Majumdar, Anne and Varughese Hospital",Hospital,Uttar Pradesh,Guwahati,Network-B,25843.35,30000,0.861,True,False,False
HSP0132,Ray Group Hospital,Hospital,Bihar,Fatehpur,Network-B,35501.15,30000,1.183,True,False,False
HSP0133,"Swaminathan, Sem and Badal Hospital",Hospital,Uttar Pradesh,Durg,Network-B,32251.98,30000,1.075,True,False,False
HSP0134,Ravel Ltd Hospital,Hospital,Madhya Pradesh,Farrukhabad,Network-C,24128.73,30000,0.804,True,False,False
HSP0135,"Pillay, Solanki and Wali Hospital",Hospital,Maharashtra,Khandwa,Network-A,25990.88,30000,0.866,True,False,False
HSP0136,"Narayanan, Pandey and Setty Hospital",Hospital,West Bengal,Farrukhabad,Network-B,34068.84,30000,1.136,True,False,False
HSP0137,Kashyap-Dara Hospital,Hospital,Chhattisgarh,Satna,Network-B,28710.87,30000,0.957,True,False,False
HSP0138,Wason Ltd Hospital,Hospital,Uttar Pradesh,Nellore,Network-B,29631.92,30000,0.988,True,False,False
HSP0139,Sule LLC Hospital,Hospital,Delhi,Salem,Out-of-Network,24535.79,30000,0.818,True,False,False
HSP0140,Minhas and Sons Hospital,Hospital,Jharkhand,Mangalore,Network-B,31037.34,30000,1.035,True,False,False
HSP0141,Atwal-Walla Hospital,Hospital,Bihar,Panipat,Network-A,34123.06,30000,1.137,True,False,False
HSP0142,Bhagat PLC Hospital,Hospital,Rajasthan,Cuttack,Network-C,33154.84,30000,1.105,True,False,False
HSP0143,"Swaminathan, Chauhan and Arora Hospital",Hospital,Kerala,Nandyal,Network-B,28061.48,30000,0.935,True,False,False
HSP0144,Sastry-Oak Hospital,Hospital,Maharashtra,Faridabad,Network-C,34224.19,30000,1.141,True,False,False
HSP0145,Sridhar-Comar Hospital,Hospital,Uttar Pradesh,Rewa,Network-B,34203.29,30000,1.14,True,False,False
HSP0146,Borah-Bera Hospital,Hospital,Maharashtra,Jalgaon,Network-B,25259.76,30000,0.842,True,False,False
HSP0147,"Modi, Chada and Kothari Hospital",Hospital,Uttarakhand,Proddatur,Network-C,26130.08,30000,0.871,True,False,False
