month,total_claimed,total_paid
2020-01,20107164.89,14006541.55
2020-02,91954442.61,57879670.97
2020-03,158408973.49000004,99224836.30000001
2020-04,213920488.23000005,144729412.4
2020-05,286502693.5999999,181538743.85999992
2020-06,303063625.99,185616041.57000008
2020-07,390236043.6199999,260534845.26000008
2020-08,566877348.6799997,382455953.0900001
2020-09,438288780.65999985,289677720.31000006
2020-10,581411041.9699999,381615163.9499999
2020-11,695451447.4700007,459679789.7800003
2020-12,863931840.67,592733854.2499998
2021-01,748943092.9699993,505028663.9300002
2021-02,830901420.7300003,543738841.0400002
2021-03,1035471246.8,669506611.7299993
2021-04,969983658.9499998,636436504.4900005
2021-05,1071613806.3100015,686075192.6899998
2021-06,1234880819.589999,790686961.0100002
2021-07,1393994398.4499996,922874893.6300004
2021-08,1532925182.2700002,1019312394.1800003
2021-09,1374232017.6,925565659.5800003
2021-10,1499945553.9399974,1022948287.1000006
2021-11,1755597200.3100016,1104174271.819999
2021-12,1831991736.0200007,1202449041.940001
2022-01,1758089571.489998,1172754425.190001
2022-02,1720212529.799998,1144760687.6600013
2022-03,2129242294.4400017,1400958185.7599995
2022-04,2294189508.959999,1478531028.859999
2022-05,2343493185.620005,1566159859.0700016
2022-06,2292175386.9199996,1530951124.2700012
2022-07,3209451288.4200025,2096778783.410002
2022-08,2637123023.830002,1766471283.2899983
2022-09,2767386303.319998,1839670001.4100003
2022-10,3031810635.3400006,1971028021.649999
2022-11,2893627861.6599917,1923019411.1800027
2022-12,3209100610.7499948,2087024368.8999987
2023-01,3329517749.009998,2211539906.0599995
2023-02,3214880373.7399955,2135250841.9200015
2023-03,3798994636.499998,2582563114.239999
2023-04,3811868174.4000072,2488206815.1
2023-05,4171814028.810007,2796782105.4099927
2023-06,4067913642.8699994,2676655459.480002
2023-07,4524696375.7,2941640711.589995
2023-08,4672461919.220002,3029762855.849999
2023-09,4530902289.249997,2956056700.1800075
2023-10,4999707523.969987,3368649695.9600034
2023-11,5195883377.170003,3445552276.0800066
2023-12,5869736632.589987,3876562323.239993
2024-01,6093845157.260009,3933393976.289998
2024-02,6042109268.530006,4010815133.5000014
2024-03,6815701991.489982,4530325882.8600025
2024-04,7061180243.6300335,4717701890.530004
2024-05,7757468445.000023,5127569358.009995
2024-06,7682735003.390005,5033291721.210003
2024-07,8545454023.199987,5696417732.479998
2024-08,8099310874.350011,5346448024.49998
2024-09,8393113479.349979,5447019794.530019
2024-10,8313101116.560013,5434035461.599986
2024-11,8206896245.440028,5449881607.92001
2024-12,8151167597.649972,5442439803.760016
,66955330.839999996,39650425.33999999
